OBJECT_ID;SUBPROGRAM_ID;PACKAGE_NAME;OBJECT_NAME;DATA_LEVEL;POSITION;ARGUMENT_NAME;IN_OUT;DATA_TYPE;DATA_PRECISION;DATA_SCALE;CHARACTER_SET_NAME;PLS_TYPE;CHAR_LENGTH;TYPE_LINK;TYPE_OWNER;TYPE_NAME;TYPE_SUBNAME
19734;27;DB_WEB;CALCULATE_VAGYON;0;1;P_SESSIONID;IN;VARCHAR2;49;;CHAR_CS;VARCHAR2;;;;;
19734;27;DB_WEB;CALCULATE_VAGYON;0;10;P_KOTVENY_VAGYON;IN/OUT;PL/SQL RECORD;;;;;0;;BRUNO;DB_VAGYON_PORTAL;KOTVENY_VAGYON_ROV_TYP
19734;27;DB_WEB;CALCULATE_VAGYON;1;1;TEAOR;IN/OUT;VARCHAR2;;;CHAR_CS;VARCHAR2;4;;;;
19734;27;DB_WEB;CALCULATE_VAGYON;1;4;FORGALOM;IN/OUT;NUMBER;;;;NUMBER;0;;;;
19734;27;DB_WEB;CALCULATE_VAGYON;0;11;P_TELEP;IN/OUT;PL/SQL TABLE;;;;;0;;BRUNO;DB_VAGYON_PORTAL;TELEP_TAB_TYPE
19734;27;DB_WEB;CALCULATE_VAGYON;1;1;;IN/OUT;PL/SQL RECORD;;;;;0;;BRUNO;DB_VAGYON_PORTAL;TELEP_REC_TYPE
19734;27;DB_WEB;CALCULATE_VAGYON;2;1;TELEP_AZON;IN/OUT;NUMBER;9;;;NUMBER;0;;;;
19734;27;DB_WEB;CALCULATE_VAGYON;2;2;TELEP_KOD;IN/OUT;NUMBER;6;;;NUMBER;0;;;;
